"","country.code","region","component","stimulus"
"240","GNQ","MAF","General spending",0
"241","GRC","OECD+","General spending",23913043478.26
"242","GTM","LAM","General spending",2667655229
"243","GUM","OECD+","General spending",0
"244","GUY","LAM","General spending",0
"245","HKG","ASIA","General spending",32850672960
"246","HND","LAM","General spending",2181260029.2
"247","HRV","OECD+","General spending",0
"248","HTI","LAM","General spending",96587211.69
"249","HUN","OECD+","General spending",2465361106
"250","IDN","ASIA","General spending",2.2e+07
"251","IND","ASIA","General spending",4.3e+07
"252","IRL","OECD+","General spending",7456521739
"253","IRN","MAF","General spending",3.0558e+10
"254","IRQ","MAF","General spending",2.5e+07
"255","ISL","OECD+","General spending",2123726921
"256","ISR","MAF","General spending",11697345793
"257","ITA","OECD+","General spending",6.1e+07
"258","JAM","LAM","General spending",172852997
"259","JOR","MAF","General spending",207042253.5
"260","JPN","OECD+","General spending",7.57e+08
"261","KAZ","REF","General spending",9863482631.33
"262","KEN","MAF","General spending",924960948.33
"263","KGZ","REF","General spending",5.55e+08
"264","KHM","ASIA","General spending",0
"265","KOR","ASIA","General spending",4.4e+07
"266","KWT","MAF","General spending",1.6e+09
"267","LAO","ASIA","General spending",6360993.51
"268","LBN","MAF","General spending",1094527363.18
"269","LBR","MAF","General spending",0
"270","LBY","MAF","General spending",366309311.6
"271","LKA","ASIA","General spending",40005346885.94
"272","LSO","MAF","General spending",83075854.01
"273","LTU","OECD+","General spending",8695652174.48
"274","LUX","OECD+","General spending",7180434782.62
"275","LVA","OECD+","General spending",1084782608.67
"276","MAC","ASIA","General spending",6665170146
"277","MAR","MAF","General spending",3183877649
"278","MDA","REF","General spending",0
"279","MDG","MAF","General spending",1.6e+08
"280","MDV","ASIA","General spending",227408031.1
"281","MEX","LAM","General spending",7e+06
"282","MKD","OECD+","General spending",25344262.11
"283","MLI","MAF","General spending",85817164.16
"284","MLT","OECD+","General spending",1404891304.3
"285","MMR","ASIA","General spending",26576995.41
"286","MNE","OECD+","General spending",210028336.3
"287","MNG","ASIA","General spending",261334982.8
"288","MOZ","MAF","General spending",0
"289","MRT","MAF","General spending",2.9e+08
"290","MUS","MAF","General spending",321472721.7
"291","MWI","MAF","General spending",5e+07
"292","MYS","ASIA","General spending",15518706429.01
"293","NAM","MAF","General spending",264471469.5
"294","NCL","OECD+","General spending",0
"295","NER","MAF","General spending",0
"296","NGA","MAF","General spending",1.4e+09
"297","NIC","LAM","General spending",0
"298","NLD","OECD+","General spending",63913043479
"299","NOR","OECD+","General spending",19674146941.29
"300","NPL","ASIA","General spending",0
"301","NZL","OECD+","General spending",20688342915
"302","OMN","MAF","General spending",0
"303","PAK","ASIA","General spending",9727141861.2
"304","PAN","LAM","General spending",1.3e+09
"305","PER","LAM","General spending",3133935235.05
"306","PHL","ASIA","General spending",10197216452.76
"307","PNG","ASIA","General spending",1707818675
"308","POL","OECD+","General spending",48687350835.63
"309","PRI","LAM","General spending",0
"310","PRT","OECD+","General spending",10760869565
"311","PRY","LAM","General spending",4.45e+08
"312","PYF","OECD+","General spending",0
"313","QAT","MAF","General spending",20604395604.4
"314","ROU","OECD+","General spending",4578792984
"315","RUS","REF","General spending",2.9e+07
"316","RWA","MAF","General spending",313787614.7
"317","SAU","MAF","General spending",1.6e+07
"318","SDN","MAF","General spending",4062901700.16
"319","SEN","MAF","General spending",1547453334.64
"320","SGP","ASIA","General spending",53453271634.21
"321","SLB","OECD+","General spending",40113147.44
"322","SLE","MAF","General spending",7500000
"323","SLV","LAM","General spending",0
"324","SOM","MAF","General spending",0
"325","SRB","OECD+","General spending",2825054036.8
"326","SUR","LAM","General spending",93802204.3
"327","SVK","OECD+","General spending",2032608696
"328","SVN","OECD+","General spending",7608695652.13
"329","SWE","OECD+","General spending",40954759754
"330","SWZ","MAF","General spending",7552350.36
"331","SYR","MAF","General spending",0
"332","TCD","MAF","General spending",135277382.9
"333","TGO","MAF","General spending",22700000
"334","THA","ASIA","General spending",58804912572
"335","TJK","REF","General spending",0
"336","TKM","REF","General spending",2975563428.6
"337","TLS","ASIA","General spending",0
"338","TTO","LAM","General spending",0
"339","TUN","MAF","General spending",268241694.58
"340","TUR","OECD+","General spending",1.2e+07
"341","TZA","MAF","General spending",384400000
"342","UGA","MAF","General spending",369300000
"343","UKR","REF","General spending",8444700088
"344","URY","LAM","General spending",8e+08
"345","USA","OECD+","General spending",2.139e+09
"346","UZB","REF","General spending",0
"347","VEN","LAM","General spending",0
