"","country.code","region","gdp","component","stimulus","check"
"196","BLZ","LAM",1871203164.08274,"General.spending",18712031.64,9.99999999955782
"197","BOL","LAM",40287647756.8741,"General.spending",3.06e+08,7.59538014844236
"198","BRA","LAM",1868626087908.48,"General.spending",1.12e+08,0.0599370846445581
"199","BRB","LAM",5.145e+09,"General.spending",0,0
"200","BRN","ASIA",13567351175.0315,"General.spending",0,0
"201","BTN","ASIA",2446674101.3737,"General.spending",0,0
"202","BWA","MAF",18616018903.4434,"General.spending",60168010.37,3.23205571943584
"203","CAF","MAF",2219894701.95124,"General.spending",42177999.34,19.0000000013183
"204","CAN","OECD+",1713341704877.01,"General.spending",1.45e+08,0.0846299366829506
"205","CHE","OECD+",705140354166.312,"General.spending",33746356927.09,47.8576452584228
"206","CHL","LAM",298231133532.749,"General.spending",2.615e+10,87.6836690061014
"207","CHN","ASIA",13608151864637.9,"General.spending",8.41e+08,0.0618011915479441
"208","CIV","MAF",43007047821.7541,"General.spending",903148004.3,21.0000000010036
"209","CMR","MAF",38675205293.0462,"General.spending",44986859.57,1.16319640010001
"210","COD","MAF",47227535290.9218,"General.spending",141682605.9,3.00000000057667
"211","COG","MAF",11263682694.0393,"General.spending",180218923.1,15.999999999589
"212","COL","LAM",331047040087.878,"General.spending",9269317122,27.9999999986087
"213","COM","MAF",1177955048.65299,"General.spending",0,0
"214","CPV","MAF",1976814276.50792,"General.spending",23551179.88,11.9137038617526
"215","CRI","LAM",60130106115.6294,"General.spending",292474944,4.86403505487874
"216","CUB","LAM",1.00023e+11,"General.spending",0,0
"217","CYP","OECD+",24961988663.2026,"General.spending",1109593913.04,44.451342719969
"218","CZE","OECD+",245225882903.37,"General.spending",10217391304,41.6652238459923
"219","DEU","OECD+",3947620162502.96,"General.spending",3.07e+08,0.0777683736941269
"220","DJI","MAF",2955912228.22417,"General.spending",0,0
"221","DNK","OECD+",355675329085.952,"General.spending",27387000339.62,77.0000000000048
"222","DOM","LAM",85555390387.0355,"General.spending",5.76e+08,6.73248052979819
"223","DZA","MAF",173757952824.25,"General.spending",98633038.99,0.567646184746225
"224","ECU","LAM",108398058000,"General.spending",1.64e+08,1.51294223370681
"225","EGY","MAF",250894760351.232,"General.spending",5178054.6,0.0206383528805111
"226","ERI","MAF",NA,"General.spending",0,NA
"227","ESP","OECD+",1419041949909.82,"General.spending",40707173913,28.6863780986791
"228","EST","OECD+",30732144528.9795,"General.spending",633695652.1,20.6199619913424
"229","ETH","MAF",84355604752.5299,"General.spending",1.21e+09,14.3440379990129
"230","EU","EU",NA,"General.spending",4e+07,NA
"231","FIN","OECD+",276743120515.764,"General.spending",11304347826.1,40.8478006789552
"232","FJI","OECD+",5536759658.87012,"General.spending",479068895.3,86.5251383148827
"233","FRA","OECD+",2777535239277.98,"General.spending",1.15e+08,0.0414036151094501
"234","GAB","MAF",16853589311.4139,"General.spending",6.78e+08,40.2288193613946
"235","GBR","OECD+",2855296731521.96,"General.spending",70710833.57,0.0247647933713387
"236","GEO","REF",17599660629.0202,"General.spending",928925431.72,52.7808718191014
"237","GHA","MAF",65556464048.1539,"General.spending",3.1e+08,4.72874802662164
"238","GMB","MAF",1632823198.95828,"General.spending",33500000,20.5166119769566
"239","GNB","MAF",1458156026.16376,"General.spending",9e+05,0.617217899766046
"240","GNQ","MAF",13432377049.5402,"General.spending",0,0
"241","GRC","OECD+",218031844583.994,"General.spending",23913043478.26,109.676838830063
"242","GTM","LAM",78460447919.9915,"General.spending",2667655229,33.999999996435
"243","GUM","OECD+",5.92e+09,"General.spending",0,0
"244","GUY","LAM",3878662620.77146,"General.spending",0,0
"245","HKG","ASIA",362682018243.286,"General.spending",32850672960,90.5770656045149
"246","HND","LAM",23969890430.7882,"General.spending",2181260029.2,90.999999999928
"247","HRV","OECD+",60971699315.1776,"General.spending",0,0
"248","HTI","LAM",9658721168.86849,"General.spending",96587211.69,10.0000000001362
"249","HUN","OECD+",157882912778.254,"General.spending",2465361106,15.6151230213404
"250","IDN","ASIA",1042173300625.55,"General.spending",2.2e+07,0.0211097328887574
"251","IND","ASIA",2718732231257.57,"General.spending",4.3e+07,0.0158161953228141
"252","IRL","OECD+",382487490532.479,"General.spending",7456521739,19.4948120489364
"253","IRN","MAF",NA,"General.spending",3.0558e+10,NA
"254","IRQ","MAF",224228010477.889,"General.spending",2.5e+07,0.111493653030763
"255","ISL","OECD+",25878475760.1131,"General.spending",2123726921,82.0653789924264
"256","ISR","MAF",370587977153.583,"General.spending",11697345793,31.5642884122824
"257","ITA","OECD+",2083864259622.65,"General.spending",6.1e+07,0.0292725400506874
"258","JAM","LAM",15713908816.1463,"General.spending",172852997,11.0000000014249
"259","JOR","MAF",42231295774.6479,"General.spending",207042253.5,4.90257875592561
"260","JPN","OECD+",4971323079771.87,"General.spending",7.57e+08,0.15227334611991
"261","KAZ","REF",179339994859.384,"General.spending",9863482631.33,54.9987895285918
"262","KEN","MAF",87908262519.9164,"General.spending",924960948.33,10.5218886349897
"263","KGZ","REF",8092836608.78875,"General.spending",5.55e+08,68.5791678281599
"264","KHM","ASIA",24542474061.2426,"General.spending",0,0
"265","KOR","ASIA",1619423701169.63,"General.spending",4.4e+07,0.0271701593401535
"266","KWT","MAF",140645364238.411,"General.spending",1.6e+09,11.3761303734676
"267","LAO","ASIA",17953786416.1431,"General.spending",6360993.51,0.354298160987396
"268","LBN","MAF",56639155555.5556,"General.spending",1094527363.18,19.3245706515948
"269","LBR","MAF",3.264e+09,"General.spending",0,0
"270","LBY","MAF",48364208571.4286,"General.spending",366309311.6,7.57397510307652
