group,country.code,country,region,ex.rate,lcu.stim,usd.conv,gdp.2018,gdp.share,total.stim.usd,non.health,health,business,deferrals,loans.guarantees,other
,KAZ,Kazakhstan,REF,344.7058333,3.40E+12,9863482631,1.79E+11,,9.86E+09,-,-,-,-,-,9.86E+09
,KEN,Kenya,MAF,101.301574,93700000000,924960948.3,87908262520,,9.25E+08,-,-,-,-,-,9.25E+08
,KGZ,Kyrgyzstan,REF,68.84032033,,0,8092836609,,5.71E+08,,1.60E+07,1.50E+07,,,5.40E+08
,KHM,Cambodia,ASIA,4051.1669,,0,24542474061,,6.00E+07,,6.00E+07,,,,0.00E+00
G20,KOR,South Korea,ASIA,1100.5,6.95E+13,63153112222,1.62E+12,,1.97E+11,4.40E+10,4.00E+09,-,-,1.49E+11,
,KWT,Kuwait,MAF,0.301956494,,0,1.41E+11,,1.60E+09,,,,,,1.60E+09
,LAO,Lao People's Democratic Republic,ASIA,8489.239909,54000000000,6360993.514,17953786416,,6.36E+06,,,,,,6.36E+06
,LBN,Lebanon,MAF,1507.5,1.65E+12,1094527363,56639155556,,1.09E+09,,,,,,1.09E+09
,LBR,Liberia,MAF,144.0555758,,0,3264000000,,0.00E+00,,,,,,0.00E+00
,LBY,Libyan Arab Jamahiriya,MAF,1.364966667,500000000,366309311.6,48364208571,,3.66E+08,,,,,,3.66E+08
,LKA,Sri Lanka,ASIA,162.4648587,,0,88900770858,0.45,4.00E+10,,,,,,4.00E+10
,LSO,Lesotho,MAF,13.24091113,1900000000,143494656.9,2738786278,,1.43E+08,5.66E+07,2.64E+07,,,3.40E+07,2.64E+07
,LTU,Lithuania,OECD90+EU,0.92,10800000000,11739130435,53429066429,,1.17E+10,1.46E+09,5.43E+08,2.39E+09,0.00E+00,2.50E+09,4.84E+09
,LUX,Luxembourg,OECD90+EU,0.92,10400000000,11304347826,70885325883,,1.13E+10,1.45E+09,2.11E+08,7.07E+08,5.00E+09,3.91E+09,2.61E+07
,LVA,Latvia,OECD90+EU,0.92,,0,34409229178,,2.00E+09,8.70E+06,1.52E+07,2.20E+08,,9.00E+08,8.56E+08
,MAC,Macao,ASIA,8.072507417,53600000000,6639820471,55084050790,0.121,6.67E+09,,,,,,6.67E+09
,MAR,Morocco,MAF,9.386102421,,0,1.18E+11,0.027,3.18E+09,,,,,,3.18E+09
,MDA,Republic of Moldova,REF,16.80205172,,0,11443671436,,0.00E+00,,,,,,0.00E+00
,MDG,Madagascar,MAF,3334.752255,,160000000,13853432868,,1.60E+08,,,,,,1.60E+08
,MDV,Maldives,ASIA,15.39083727,3500000000,227408031.1,5327457150,,2.27E+08,,,,,,2.27E+08
G20,MEX,Mexico,LAM,19.24434167,1.80E+11,9353398683,1.22E+12,,1.40E+10,5.00E+09,2.00E+09,-,2.00E+09,5.00E+09,
,MKD,Macedonia,OECD90+EU,52.10710833,,0,12672131053,0.002,2.53E+07,,,,,,2.53E+07
,MLI,Mali,MAF,555.7178304,,0,17163432832,0.005,8.58E+07,,,,,,8.58E+07
,MLT,Malta,OECD90+EU,0.92,1427800000,1551956522,14553422929,,1.55E+09,,1.47E+08,,2.17E+08,,1.19E+09
,MMR,Myanmar,ASIA,1429.807975,1.38E+11,96726275.42,71214803378,,9.67E+07,2.66E+07,2.10E+05,,,6.99E+07,0.00E+00
,MNE,Montenegro,OECD90+EU,0.847186371,75000000,88528336.33,5504166667,,2.10E+08,,,,,,2.10E+08
,MNG,Mongolia,ASIA,2472.484051,,0,13066749138,0.02,2.68E+08,2.61E+08,6.88E+06,,,,0.00E+00
